time:1597525903.958831	IP:8.8.8.8	totalPings:12000	avgPing:19.5	maxPing:147	last10Avg:18.8	last10Max:59	timeout:0	packetLoss:0.0%
time:1597525906.7506108	IP:8.8.8.8	totalPings:12100	avgPing:19.5	maxPing:147	last10Avg:19.1	last10Max:66	timeout:0	packetLoss:0.0%
time:1597525909.5863345	IP:8.8.8.8	totalPings:12200	avgPing:19.5	maxPing:147	last10Avg:19.5	last10Max:69	timeout:0	packetLoss:0.0%
time:1597525912.3901982	IP:8.8.8.8	totalPings:12300	avgPing:19.4	maxPing:147	last10Avg:19.2	last10Max:63	timeout:0	packetLoss:0.0%
time:1597525915.1082375	IP:8.8.8.8	totalPings:12400	avgPing:19.4	maxPing:147	last10Avg:18.3	last10Max:44	timeout:0	packetLoss:0.0%
time:1597525917.840043	IP:8.8.8.8	totalPings:12500	avgPing:19.4	maxPing:147	last10Avg:18.5	last10Max:47	timeout:0	packetLoss:0.0%
time:1597525920.546755	IP:8.8.8.8	totalPings:12600	avgPing:19.4	maxPing:147	last10Avg:18.2	last10Max:43	timeout:0	packetLoss:0.0%
time:1597525923.167232	IP:8.8.8.8	totalPings:12700	avgPing:19.4	maxPing:147	last10Avg:17.3	last10Max:43	timeout:0	packetLoss:0.0%
time:1597525925.7330134	IP:8.8.8.8	totalPings:12800	avgPing:19.4	maxPing:147	last10Avg:16.8	last10Max:51	timeout:0	packetLoss:0.0%
time:1597525928.4237194	IP:8.8.8.8	totalPings:12900	avgPing:19.4	maxPing:147	last10Avg:18.1	last10Max:58	timeout:0	packetLoss:0.0%
time:1597525931.0652578	IP:8.8.8.8	totalPings:13000	avgPing:19.3	maxPing:147	last10Avg:15.7	last10Max:35	timeout:0	packetLoss:0.0%
time:1597525933.649409	IP:8.8.8.8	totalPings:13100	avgPing:19.3	maxPing:147	last10Avg:17.1	last10Max:42	timeout:0	packetLoss:0.0%
time:1597525936.3651931	IP:8.8.8.8	totalPings:13200	avgPing:19.3	maxPing:147	last10Avg:18.4	last10Max:62	timeout:0	packetLoss:0.0%
time:1597525942.850256	IP:8.8.8.8	totalPings:13300	avgPing:19.3	maxPing:147	last10Avg:18.1	last10Max:50	timeout:1	packetLoss:0.0%
time:1597525949.308903	IP:8.8.8.8	totalPings:13400	avgPing:19.3	maxPing:147	last10Avg:18.1	last10Max:40	timeout:2	packetLoss:0.0%
time:1597525952.1866834	IP:8.8.8.8	totalPings:13500	avgPing:19.3	maxPing:147	last10Avg:19.9	last10Max:55	timeout:2	packetLoss:0.0%
time:1597525954.9797747	IP:8.8.8.8	totalPings:13600	avgPing:19.3	maxPing:147	last10Avg:19.1	last10Max:42	timeout:2	packetLoss:0.0%
time:1597525961.4086099	IP:8.8.8.8	totalPings:13700	avgPing:19.3	maxPing:147	last10Avg:20.2	last10Max:56	timeout:3	packetLoss:0.0%
time:1597525964.1581964	IP:8.8.8.8	totalPings:13800	avgPing:19.3	maxPing:147	last10Avg:18.7	last10Max:45	timeout:3	packetLoss:0.0%
time:1597525966.9182668	IP:8.8.8.8	totalPings:13900	avgPing:19.3	maxPing:147	last10Avg:18.7	last10Max:42	timeout:3	packetLoss:0.0%
time:1597525969.6835442	IP:8.8.8.8	totalPings:14000	avgPing:19.3	maxPing:147	last10Avg:18.9	last10Max:54	timeout:3	packetLoss:0.0%
time:1597525972.5190806	IP:8.8.8.8	totalPings:14100	avgPing:19.3	maxPing:147	last10Avg:19.5	last10Max:50	timeout:3	packetLoss:0.0%
time:1597525975.4551265	IP:8.8.8.8	totalPings:14200	avgPing:19.3	maxPing:147	last10Avg:20.6	last10Max:62	timeout:3	packetLoss:0.0%
time:1597525978.5762124	IP:8.8.8.8	totalPings:14300	avgPing:19.3	maxPing:147	last10Avg:22.3	last10Max:76	timeout:3	packetLoss:0.0%
time:1597525981.492738	IP:8.8.8.8	totalPings:14400	avgPing:19.3	maxPing:147	last10Avg:20.3	last10Max:56	timeout:3	packetLoss:0.0%
time:1597525984.5887756	IP:8.8.8.8	totalPings:14500	avgPing:19.4	maxPing:147	last10Avg:22.0	last10Max:60	timeout:3	packetLoss:0.0%
time:1597525987.2146957	IP:8.8.8.8	totalPings:14600	avgPing:19.3	maxPing:147	last10Avg:17.4	last10Max:48	timeout:3	packetLoss:0.0%
time:1597525994.6547759	IP:8.8.8.8	totalPings:14700	avgPing:19.4	maxPing:149	last10Avg:27.8	last10Max:149	timeout:4	packetLoss:0.0%
time:1597525997.5767863	IP:8.8.8.8	totalPings:14800	avgPing:19.4	maxPing:149	last10Avg:20.4	last10Max:58	timeout:4	packetLoss:0.0%
time:1597526000.5307171	IP:8.8.8.8	totalPings:14900	avgPing:19.4	maxPing:149	last10Avg:20.7	last10Max:65	timeout:4	packetLoss:0.0%
time:1597526003.3961163	IP:8.8.8.8	totalPings:15000	avgPing:19.4	maxPing:149	last10Avg:19.9	last10Max:57	timeout:4	packetLoss:0.0%
time:1597526006.2141974	IP:8.8.8.8	totalPings:15100	avgPing:19.4	maxPing:149	last10Avg:19.3	last10Max:59	timeout:4	packetLoss:0.0%
time:1597526008.9132235	IP:8.8.8.8	totalPings:15200	avgPing:19.4	maxPing:149	last10Avg:18.2	last10Max:57	timeout:4	packetLoss:0.0%
time:1597526011.794712	IP:8.8.8.8	totalPings:15300	avgPing:19.4	maxPing:149	last10Avg:19.9	last10Max:65	timeout:4	packetLoss:0.0%
time:1597526014.4526854	IP:8.8.8.8	totalPings:15400	avgPing:19.4	maxPing:149	last10Avg:17.8	last10Max:48	timeout:4	packetLoss:0.0%
time:1597526021.0217738	IP:8.8.8.8	totalPings:15500	avgPing:19.4	maxPing:149	last10Avg:19.0	last10Max:62	timeout:5	packetLoss:0.0%
time:1597526023.7858884	IP:8.8.8.8	totalPings:15600	avgPing:19.4	maxPing:149	last10Avg:18.8	last10Max:58	timeout:5	packetLoss:0.0%
time:1597526026.9306836	IP:8.8.8.8	totalPings:15700	avgPing:19.4	maxPing:149	last10Avg:22.7	last10Max:105	timeout:5	packetLoss:0.0%
time:1597526029.95928	IP:8.8.8.8	totalPings:15800	avgPing:19.4	maxPing:149	last10Avg:21.3	last10Max:75	timeout:5	packetLoss:0.0%
time:1597526036.5302167	IP:8.8.8.8	totalPings:15900	avgPing:19.4	maxPing:149	last10Avg:18.9	last10Max:56	timeout:6	packetLoss:0.0%
time:1597526040.0537353	IP:8.8.8.8	totalPings:16000	avgPing:19.5	maxPing:766	last10Avg:26.3	last10Max:766	timeout:6	packetLoss:0.0%
time:1597526042.6952617	IP:8.8.8.8	totalPings:16100	avgPing:19.5	maxPing:766	last10Avg:17.6	last10Max:43	timeout:6	packetLoss:0.0%
time:1597526045.3692417	IP:8.8.8.8	totalPings:16200	avgPing:19.5	maxPing:766	last10Avg:17.9	last10Max:53	timeout:6	packetLoss:0.0%
time:1597526048.0186076	IP:8.8.8.8	totalPings:16300	avgPing:19.4	maxPing:766	last10Avg:17.7	last10Max:64	timeout:6	packetLoss:0.0%
time:1597526051.2562404	IP:8.8.8.8	totalPings:16400	avgPing:19.5	maxPing:766	last10Avg:22.5	last10Max:91	timeout:6	packetLoss:0.0%
time:1597526054.0986867	IP:8.8.8.8	totalPings:16500	avgPing:19.5	maxPing:766	last10Avg:19.6	last10Max:46	timeout:6	packetLoss:0.0%
time:1597526056.8939986	IP:8.8.8.8	totalPings:16600	avgPing:19.5	maxPing:766	last10Avg:19.2	last10Max:62	timeout:6	packetLoss:0.0%
time:1597526059.6532528	IP:8.8.8.8	totalPings:16700	avgPing:19.5	maxPing:766	last10Avg:18.9	last10Max:61	timeout:6	packetLoss:0.0%
time:1597526062.5352283	IP:8.8.8.8	totalPings:16800	avgPing:19.5	maxPing:766	last10Avg:20.0	last10Max:59	timeout:6	packetLoss:0.0%
time:1597526065.656634	IP:8.8.8.8	totalPings:16900	avgPing:19.5	maxPing:766	last10Avg:22.4	last10Max:66	timeout:6	packetLoss:0.0%
time:1597526068.6206362	IP:8.8.8.8	totalPings:17000	avgPing:19.5	maxPing:766	last10Avg:20.9	last10Max:82	timeout:6	packetLoss:0.0%
time:1597526071.4337125	IP:8.8.8.8	totalPings:17100	avgPing:19.5	maxPing:766	last10Avg:19.3	last10Max:60	timeout:6	packetLoss:0.0%
time:1597526074.2852135	IP:8.8.8.8	totalPings:17200	avgPing:19.5	maxPing:766	last10Avg:19.7	last10Max:72	timeout:6	packetLoss:0.0%
time:1597526077.5412061	IP:8.8.8.8	totalPings:17300	avgPing:19.5	maxPing:766	last10Avg:23.6	last10Max:70	timeout:6	packetLoss:0.0%
time:1597526080.5582206	IP:8.8.8.8	totalPings:17400	avgPing:19.5	maxPing:766	last10Avg:21.3	last10Max:78	timeout:6	packetLoss:0.0%
time:1597526083.6804395	IP:8.8.8.8	totalPings:17500	avgPing:19.5	maxPing:766	last10Avg:22.3	last10Max:58	timeout:6	packetLoss:0.0%
